EMBEDDING_TIMES,DIMS
"Any[281.565797125, 293.003249875, 305.192669417, 306.143143125, 311.566877209]","[1, 2, 3, 5, 10]"
"Any[304.001552666, 319.306747833, 323.363988583, 320.566760542, 321.548535375]","[1, 2, 3, 5, 10]"
"Any[315.34283675, 314.495138458, 314.390639709, 317.015228166, 315.273331125]","[1, 2, 3, 5, 10]"
"Any[313.044856583, 323.480156458, 334.958255375, 344.248326458, 348.119106417]","[1, 2, 3, 5, 10]"
"Any[346.16047125, 351.779774291, 355.731400209, 353.414629125, 359.3825945]","[1, 2, 3, 5, 10]"
"Any[351.413461792, 358.806772041, 357.957633208, 354.806619125, 357.968263208]","[1, 2, 3, 5, 10]"
"Any[354.364384209, 355.637534125, 356.900484667, 355.224434667, 361.347847917]","[1, 2, 3, 5, 10]"
"Any[352.047122041, 355.617461542, 362.576180708, 356.692125167, 359.499685458]","[1, 2, 3, 5, 10]"
"Any[282.244004208, 295.725967375, 302.688535417, 307.213905042, 311.845544]","[1, 2, 3, 5, 10]"
"Any[337.397911667, 366.034052375, 369.442373, 365.83806, 366.13910225]","[1, 2, 3, 5, 10]"
"Any[363.782557542, 361.042227583, 363.312351416, 367.18966575, 365.376641375]","[1, 2, 3, 5, 10]"
"Any[366.421035042, 362.110467542, 363.799263417, 364.526324542, 367.480646584]","[1, 2, 3, 5, 10]"
"Any[285.496560042, 304.256459417, 298.028622666, 302.567015667, 304.759894625]","[1, 2, 3, 5, 10]"
"Any[319.466270375, 313.898033792, 305.934117208, 322.515362, 316.665753791]","[1, 2, 3, 5, 10]"
"Any[314.106487834, 321.754239333, 337.9327465, 322.396121458, 339.273268083]","[1, 2, 3, 5, 10]"
